,Close,High,Low,Open,Time
0,1.371245,1.37155,1.371025,1.3713,20210722  02:45:00
1,1.371245,1.371245,1.371245,1.371245,20210722  02:46:00
2,1.371245,1.371245,1.371245,1.371245,20210722  02:47:00
3,1.371245,1.371245,1.371245,1.371245,20210722  02:48:00
4,1.371245,1.371245,1.371245,1.371245,20210722  02:49:00
5,1.371245,1.37125,1.37123,1.371245,20210722  02:50:00
6,1.371245,1.371245,1.371245,1.371245,20210722  02:51:00
7,1.371245,1.371245,1.371245,1.371245,20210722  02:52:00
8,1.371245,1.371245,1.371245,1.371245,20210722  02:53:00
9,1.371245,1.371245,1.371245,1.371245,20210722  02:54:00
10,1.371245,1.371245,1.371245,1.371245,20210722  02:55:00
11,1.371245,1.371245,1.371245,1.371245,20210722  02:56:00
12,1.371215,1.37125,1.371215,1.371245,20210722  02:57:00
13,1.371235,1.371235,1.371215,1.371215,20210722  02:58:00
14,1.371235,1.371235,1.371235,1.371235,20210722  02:59:00
15,1.371245,1.371255,1.371235,1.371235,20210722  03:00:00
16,1.371285,1.371285,1.371245,1.371245,20210722  03:01:00
17,1.37128,1.3713,1.37128,1.371285,20210722  03:02:00
18,1.37128,1.37128,1.37128,1.37128,20210722  03:03:00
19,1.371465,1.37147,1.371265,1.37128,20210722  03:04:00
20,1.37148,1.37152,1.371465,1.371465,20210722  03:05:00
21,1.37148,1.37148,1.37148,1.37148,20210722  03:06:00
22,1.37148,1.37148,1.37148,1.37148,20210722  03:07:00
23,1.37148,1.37148,1.371455,1.37148,20210722  03:08:00
24,1.37158,1.37158,1.37148,1.37148,20210722  03:09:00
25,1.37157,1.37158,1.37148,1.37158,20210722  03:10:00
26,1.3717,1.3717,1.371515,1.37157,20210722  03:11:00
27,1.37158,1.3717,1.37156,1.3717,20210722  03:12:00
28,1.371605,1.371605,1.37155,1.371585,20210722  03:13:00
29,1.371625,1.37163,1.371605,1.371605,20210722  03:14:00
30,1.371625,1.37163,1.371625,1.371625,20210722  03:15:00
31,1.371625,1.37163,1.37162,1.371625,20210722  03:16:00
32,1.37147,1.371655,1.37147,1.371625,20210722  03:17:00
33,1.371465,1.371475,1.37139,1.37147,20210722  03:18:00
34,1.371465,1.37147,1.37139,1.371465,20210722  03:19:00
35,1.371465,1.371465,1.371465,1.371465,20210722  03:20:00
36,1.371495,1.371495,1.371455,1.371465,20210722  03:21:00
37,1.371495,1.371495,1.37147,1.371495,20210722  03:22:00
38,1.371495,1.371515,1.37149,1.371495,20210722  03:23:00
39,1.371495,1.371495,1.3714,1.371495,20210722  03:24:00
40,1.371485,1.371495,1.371485,1.371495,20210722  03:25:00
41,1.371485,1.371485,1.37145,1.371485,20210722  03:26:00
42,1.37145,1.371485,1.37145,1.371485,20210722  03:27:00
43,1.371445,1.37145,1.371445,1.37145,20210722  03:28:00
44,1.37149,1.37149,1.371445,1.371445,20210722  03:29:00
45,1.37136,1.37155,1.37133,1.37149,20210722  03:30:00
46,1.371305,1.37137,1.371305,1.37136,20210722  03:31:00
47,1.371305,1.371325,1.371305,1.371305,20210722  03:32:00
48,1.3713,1.371315,1.371295,1.371305,20210722  03:33:00
49,1.37145,1.37145,1.3713,1.3713,20210722  03:34:00
50,1.37151,1.371525,1.37145,1.37145,20210722  03:35:00
51,1.371515,1.37152,1.371505,1.37151,20210722  03:36:00
52,1.371515,1.371515,1.371515,1.371515,20210722  03:37:00
53,1.3714,1.371515,1.3714,1.371515,20210722  03:38:00
54,1.371385,1.3714,1.371385,1.3714,20210722  03:39:00
55,1.371375,1.371385,1.371375,1.371385,20210722  03:40:00
56,1.37138,1.371385,1.371375,1.371375,20210722  03:41:00
57,1.371375,1.371385,1.371375,1.37138,20210722  03:42:00
58,1.37138,1.371385,1.37134,1.371375,20210722  03:43:00
59,1.371505,1.371505,1.371375,1.37138,20210722  03:44:00
60,1.37157,1.37159,1.371505,1.371505,20210722  03:45:00
61,1.3715,1.37157,1.37146,1.37157,20210722  03:46:00
62,1.371495,1.371535,1.371495,1.3715,20210722  03:47:00
63,1.37151,1.371575,1.371495,1.371495,20210722  03:48:00
64,1.371515,1.37152,1.371505,1.37151,20210722  03:49:00
65,1.371515,1.371515,1.371515,1.371515,20210722  03:50:00
66,1.37151,1.37152,1.37151,1.371515,20210722  03:51:00
67,1.371515,1.37152,1.37151,1.37151,20210722  03:52:00
68,1.37154,1.37157,1.371515,1.371515,20210722  03:53:00
69,1.371505,1.37154,1.3715,1.37154,20210722  03:54:00
70,1.371505,1.371505,1.3715,1.371505,20210722  03:55:00
71,1.371505,1.371505,1.3715,1.371505,20210722  03:56:00
72,1.371505,1.371505,1.371505,1.371505,20210722  03:57:00
73,1.371505,1.371505,1.3715,1.371505,20210722  03:58:00
74,1.3715,1.371505,1.3715,1.371505,20210722  03:59:00
75,1.371515,1.371515,1.37149,1.3715,20210722  04:00:00
